BUY,CURRENCY,SELL,_id,jam_scrape
18546,GBP,18690,6485649d4a89fb70250f436e,2023-06-11 06:07:21.771923
16387,CHF,16507,6485649d4a89fb70250f436f,2023-06-11 06:07:21.771923
15899,EUR,16040,6485649d4a89fb70250f4370,2023-06-11 06:07:21.771923
14826,USD,14846,6485649d4a89fb70250f4371,2023-06-11 06:07:21.771923
11070,CAD,11182,6485649d4a89fb70250f4372,2023-06-11 06:07:21.771923
11026,SGD,11049,6485649d4a89fb70250f4373,2023-06-11 06:07:21.771923
9958,AUD,9977,6485649d4a89fb70250f4374,2023-06-11 06:07:21.771923
8888,NZD,9188,6485649d4a89fb70250f4375,2023-06-11 06:07:21.771923
3932,SAR,3979,6485649d4a89fb70250f4376,2023-06-11 06:07:21.771923
3208,MYR,3223,6485649d4a89fb70250f4377,2023-06-11 06:07:21.771923
1872,HKD,1913,6485649d4a89fb70250f4378,2023-06-11 06:07:21.771923
427.7,THB,429.5,6485649d4a89fb70250f4379,2023-06-11 06:07:21.771923
105.53,JPY,107.13,6485649d4a89fb70250f437a,2023-06-11 06:07:21.771923
18546,GBP,18690,648566c56d4a1af33502ecfe,2023-06-11 06:16:33.912355
16387,CHF,16507,648566c56d4a1af33502ecff,2023-06-11 06:16:33.912355
15899,EUR,16040,648566c56d4a1af33502ed00,2023-06-11 06:16:33.912355
14826,USD,14846,648566c56d4a1af33502ed01,2023-06-11 06:16:33.912355
11070,CAD,11182,648566c56d4a1af33502ed02,2023-06-11 06:16:33.912355
11026,SGD,11049,648566c56d4a1af33502ed03,2023-06-11 06:16:33.912355
9958,AUD,9977,648566c56d4a1af33502ed04,2023-06-11 06:16:33.912355
8888,NZD,9188,648566c56d4a1af33502ed05,2023-06-11 06:16:33.912355
3932,SAR,3979,648566c56d4a1af33502ed06,2023-06-11 06:16:33.912355
3208,MYR,3223,648566c56d4a1af33502ed07,2023-06-11 06:16:33.912355
1872,HKD,1913,648566c56d4a1af33502ed08,2023-06-11 06:16:33.912355
427.7,THB,429.5,648566c56d4a1af33502ed09,2023-06-11 06:16:33.912355
105.53,JPY,107.13,648566c56d4a1af33502ed0a,2023-06-11 06:16:33.912355
